Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,March,Primary,,2026-03-03,,200,208,191,,0,3,14,1,2,,0.0,,210,0,3,60,2026-03-03 12:45:09,2026-03-03 13:45:13,Expecting a higher number,No kids came back for second serving as no food was left,Queue was well managed by techer on duty and I,Failed taps increased from 12 to 14 as some parents dint top up,*Successful taps increased from 166 to 191 because of high turnout,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,St. Augustine Gatono Primary,Kiambu Regions,March,Primary,,2026-03-03,,180,182,165,,2,3,6,0,1,,0.0,,180,2,3,60,2026-03-03 12:30:37,2026-03-03 13:30:43,Expecting higher turn out tomorrow,Food was delicious,Queue was well managed,Failed taps decreased from 9 to 6 as parents topped up on time,*Successful taps increased from 143 to 165 as parents topped up on time,@Anne Njoroge -SC St.?Augustine
Kiambu kitchen,Ack Riabai Primary,Kiambu Regions,March,Primary,White,2026-03-03,Rice and Beans,325,342,303,39.0,0,3,21,1,1,0.0,0.0,0.0,350,0,3,79,2026-03-03 12:20:57,2026-03-03 13:40:00,Expecting the turn out to be good and failed taps topped up.,The food was delicious,Kids know how to queue on their own,Failed taps today is 21 compared to yesterday's 14.parents didn't top up their kids account,Successful taps today is 303 compared to yesterday's 271. The kids turn out was good.,@Camilla (SC) ACK RIABAI PRIMARY
Kiambu kitchen,Maciri Primary,Kiambu Regions,March,Primary,White,2026-03-03,Rice and Beans,400,440,410,30.0,0,3,20,1,2,0.0,0.0,0.0,410,0,3,110,2026-03-03 12:00:24,2026-03-03 13:50:31,Hopping for a better turn out tomorrow,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 20 this due to insufficient funds,Today successful taps 410 which was an increase from yesterdays taps due to higher turn outs,@Brenda Kamau Tapper Ting'ang'a Secondary school
Kiambu kitchen,Riara Primary,Kiambu Regions,March,Primary,White,2026-03-03,Rice and Greengrams,191,191,176,15.0,0,2,13,0,1,1.0,1.0,0.0,200,0,2,70,2026-03-03 12:20:35,2026-03-03 13:30:40,We expect turn out to increase tomorrow,Food was delicious,Kids know how to make queue on their own,Failed taps have increased from 11 to 13 some parents are still not topping up,Successful taps have increased from 158 to 176 turn out was good,@Jeniffer -(SC) Riara primary school
Kiambu kitchen,Ciiko Primary,Githunguri 1,March,Primary,White,2026-03-03,Rice and Beans,940,926,853,73.0,0,5,12,0,12,0.0,0.0,0.0,950,0,5,65,2026-03-03 12:30:21,2026-03-03 13:35:29,We expected an increase in turnout tomorrow.,Food was hot and delicious,Queue was managed by teacher on duty.,Failed taps increased from 4 to 12,Actual meals increased from 422 to 926,@Ciiko Comprehensive school -SL- Samy Migwi
Kiambu kitchen,Cianda Secondary,Kiambu Regions,March,Secondary,White,2026-03-03,Rice and Beans,135,124,123,1.0,0,3,9,0,1,3.0,4.0,0.0,135,0,3,25,2026-03-03 13:20:14,2026-03-03 13:45:22,Expecting a higher turn out tomorrow,Food was hot and delicious,Que well managed,Failed taps remained the same as Tuesday's 9,Successful taps decreased from 137 to 123,@Valentine -Tapper Cianda Secondary
Kiambu kitchen,St. Joseph Gathanga Secondary,Kiambu Regions,March,Secondary,,2026-03-03,,55,45,45,,0,3,1,0,0,,0.0,,55,0,3,5,2026-03-03 13:15:21,2026-03-03 13:20:46,We expect a high turnout tomorrow.,Food was hot and delicious.,The Queue was well managed by the TOD.,The number remained the same 1.,*The number reduced from 52 to 45  because of low turnout.,@Oness Tapper St. Joseph high-school Gathanga
Kiambu kitchen,Mungai Chengecha Primary,Kiambu Regions,March,Primary,White,2026-03-03,Rice and Beans,520,498,498,41.0,1,3,32,0,30,,0.0,0.0,520,2,3,90,2026-03-03 12:20:10,2026-03-03 13:50:15,Projection was meet,Everything was smooth,It was well managed,"Failed taps increased,all jids resumed today with their accounts not recharged",Successful taps increased,@sc mungai c pry
Kiambu kitchen,St. Peters Ndumberi Secondary,Kiambu Regions,March,Secondary,White,2026-03-03,Rice and Beans,500,481,468,13.0,0,4,14,2,3,0.0,0.0,0.0,500,0,4,35,2026-03-03 13:00:49,2026-03-03 13:35:55,Expecting the above projection,The food was very delicious,There was an easy queue management,Today's failed taps were 14 compared to last Tuesday which was 16.This is because some parents topped up.,Today's successful taps were 468 compared to last Tuesday which was 474.This is because there was a decrease in the turn out.,@St Peters Ndumberi secondary
