Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,Ngemwa Primary,Githunguri 2,March,Primary,White,2026-03-19,Rice and Greengrams,220,229,208,21.0,0,2,5,0,0,0.0,0.0,0.0,220,0,2,50,2026-03-19 12:35:16,2026-03-19 13:25:22,"Being monday, most kids won't come to school also, there will be no bananas.","Food was delicious. However, 75 kids missed bananas.",Line management was successful.,Failed taps increased from 2 to 5. Most parents forgot to top up on time.,Successful Taps decreased from 210 to 208 because of the high number of failed taps.,@SC Lucy - Ngemwa primary
Kiambu kitchen,Gathanji Secondary,Githunguri 2,March,Secondary,White,2026-03-19,Rice and Greengrams,56,58,58,0.0,0,2,0,0,0,0.0,0.0,0.0,60,0,2,4,2026-03-19 13:23:07,2026-03-19 13:27:21,We expect a higher turnout on Monday,Food was sweet and delicious,The queue was well managed by the teacher on duty,There was no failed taps  since parents toped up their accounts,There was an increase in the number of succeful taps from 54 to58 due to higher turnout today,@Purity _ tapper Gathanji sec.
Kiambu kitchen,Hgm Ting'Ang'A Secondary,Kiambu Regions,March,Secondary,White,2026-03-19,Rice and Greengrams,100,99,99,0.0,0,2,5,0,0,,0.0,0.0,100,0,2,15,2026-03-19 13:00:00,2026-03-19 13:15:08,Projection to be meet after account top up in time,The activity was smooth,It was well managed by the teacher on duty,"Failed taps reduced from 9 to 5,,, parents topped up the account on time",Successful taps remained constant at 99,@Linnet Tapper Ting'ang'a HGM Sec
Kiambu kitchen,Mukua Secondary,Githunguri 2,March,Secondary,White,2026-03-19,Rice and Greengrams,85,76,76,0.0,0,2,2,0,0,2.0,3.0,0.0,80,0,2,18,2026-03-19 13:37:56,2026-03-19 13:56:03,Expecting all students will tap on monday,Food was good,I managed the queue,Failed taps decreased from 6 to 2.most parents topped on time,Successful taps decreased from 82 to 76.most boys didn't tap,@Mukua secondary
Kiambu kitchen,Kiairia Secondary,Githunguri 2,March,Secondary,White,2026-03-19,Rice and Greengrams,55,50,50,0.0,0,2,1,0,0,0.0,0.0,0.0,55,0,2,17,2026-03-19 13:13:21,2026-03-19 13:30:32,I expect a higher number on Monday because they will start exam,The food was delicious,Line management was neat,Today failed tap was 1,Successful taps increased from 49 to 50,@Janet tapper kiairia secondary
Kiambu kitchen,Ack Riabai Primary,Kiambu Regions,March,Primary,White,2026-03-19,Rice and Greengrams,360,370,332,38.0,0,3,15,0,4,0.0,0.0,0.0,340,0,3,80,2026-03-19 12:15:39,2026-03-19 13:35:44,Being on a Monday the kids turn out is usually low and we have high failed taps.,The food was delicious,Kids know how to queue on their own,Failed taps today is 15 compared to yesterday's 21. At least 6. Parents topped up their kids account.,Successful taps today is 332 compared to yesterday's 331. The kids turn out was good.,@Camilla (SC) ACK RIABAI PRIMARY
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,March,Primary,White,2026-03-19,Rice and Greengrams,200,215,202,12.0,0,3,7,0,0,0.0,0.0,0.0,230,0,3,45,2026-03-19 12:40:06,2026-03-19 13:25:31,Expecting ahigher projection as parents continue to pay,Food was hot and delicious,Queue was well Managed by the help of the teacher on duty,Failed taps decreased from 12 to 7 due to early payments,Successful taps increased from 197 to 215 due to early payments,@Tabitha wairimu
Kiambu kitchen,St. Peters Ndumberi Secondary,Kiambu Regions,March,Secondary,White,2026-03-19,Rice and Greengrams,510,499,485,14.0,0,4,15,0,4,0.0,1.0,0.0,510,0,4,30,2026-03-19 13:00:40,2026-03-19 13:30:47,Expecting the above projection.,The food was very delicious.,There was an easy queue management,Today's failed taps were 15 compared to yesterdays which was 13.This is because some parents didn't top up.,Today's successful taps were 485 compared to yesterdays which was 490.This is because there was a decrease in the turn out.,@St Peters Ndumberi secondary
Kiambu kitchen,Karia Secondary,Githunguri 2,March,Secondary,White,2026-03-19,Rice and Greengrams,50,44,44,0.0,3,2,5,0,0,1.0,2.0,0.0,50,5,2,15,2026-03-19 13:15:12,2026-03-19 13:30:24,We a higher turn out since from 4s started their end of team exams we more to feed,Food was delicious and enough,Line was well managed,The number of failed taps increased from 00 to 05,The number of successful taps decreased from 51 to 44,@Simon Tapper Karia secondary
Kiambu kitchen,Ndumberi Primary,Kiambu Regions,March,Primary,White,2026-03-19,Rice and Greengrams,830,859,791,68.0,0,5,52,0,1,0.0,0.0,0.0,840,0,0,109,2026-03-19 12:05:54,2026-03-19 13:55:07,Expecting the above number as kids are sitting for exams,Food was delicious,Easy queue management,Today's failed taps were 52 compared to yesterday 57 some parents topped up,Today's successful taps were 791 compared to yesterday 772 some parents topped up plus there were bananas today,@Ndumberi primary school
Kiambu kitchen,Lioki Primary,Githunguri 2,March,Primary,White,2026-03-19,Rice and Greengrams,155,155,138,17.0,0,2,6,0,1,0.0,0.0,0.0,155,0,2,27,2026-03-19 13:00:43,2026-03-19 13:27:51,we expect the kids to continue turning up well,food was hot and delicious kids enjoyed the meal,queue was well organized with the help of the teacher on duty and the prefects,failed taps reduced by 2 as the parents remembered to top up their kids accounts in good time,successful taps increased by 2 as the kids availed themselves for tapping. our actual meals today increased because the kids enjoy green grams which was part of our today's menu.,@SC Phoebe - Lioki Primary school
Kiambu kitchen,Githunguri Tech Secondary,Githunguri 1,March,Secondary,White,2026-03-19,Rice and Greengrams,215,203,203,0.0,0,2,7,0,1,5.0,6.0,0.0,215,0,2,40,2026-03-19 13:30:14,2026-03-19 14:10:24,We expect a rise of successful taps on Monday,Food was delicious and warm,The queue was well manageable by teacher on duty,Failed taps today was 7 which is a decrease compared from 8 to 7 parents top up,The actual meal served today was 203 which is a decrease compared from 212 to 203 parents didn't top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
Kiambu kitchen,Lioki Secondary,Githunguri 2,March,Secondary,White,2026-03-19,Rice And Greens Green,170,163,163,0.0,0,2,4,0,2,2.1,2.45,0.0,170,0,2,38,2026-03-19 13:20:11,2026-03-19 13:58:17,a higher number on Monday,The food was good,Line management was smooth,The failed taps decreased by 6 parents had not topped up their account,Successful taps decreased by 4 due to a lower number of students who show up for tapping,@Ann Tapper St. Vincent secondary
Kiambu kitchen,Hgm Ting'Ang'A Primary,Kiambu Regions,March,Primary,White,2026-03-19,Rice and Greengrams,500,514,440,74.0,0,3,40,1,7,0.0,0.0,0.0,500,0,3,100,2026-03-19 12:20:00,2026-03-19 14:00:13,Expecting the same number,Food was hot and delicious,Queue management was good,Failed taps decreased from 48 to 40. A few parents responded to topping up,Successful taps decreased from 523 to 514. Turn up was lower,@SL Ting'ang'a HGM Primary
Kiambu kitchen,Riara Secondary,Kiambu Regions,March,Secondary,White,2026-03-19,Rice and Greengrams,105,106,106,0.0,0,2,4,0,2,0.0,0.0,0.0,110,0,2,35,2026-03-19 13:15:00,2026-03-19 13:50:00,We expect the turnout will be constant or higher than todays,Food was delicious,TOD assisted with queue management,Successful taps were 106. A decline from yesterdays 108,Failed taps were 4. A decline from 8 for yesterday,@Tapper Riara Sec
Kiambu kitchen,Githunguri Primary,Githunguri 2,March,Primary,White,2026-03-19,Rice and Greengrams,440,453,414,39.0,0,3,14,0,3,0.0,0.0,0.0,450,0,3,50,2026-03-19 12:40:34,2026-03-19 13:30:38,We expect a higher turn up as they shall be starting their exams,Food was good,Like was managed with the help of TOD,"Failed taps were 14 a decrease from yesterday's 20,,respective parents managed to top up on time","Successful taps were 414 an increase from yesterday's 404,,turn up was high",@SC- Githunguri Comprehensive
Kiambu kitchen,Ting'Ang'A Model,Kiambu Regions,March,Primary,White,2026-03-19,Rice and Greengrams,400,386,340,46.0,0,3,18,0,0,0.0,0.0,0.0,400,0,3,90,2026-03-19 12:30:51,2026-03-19 14:00:56,We expect kids to show up in good numbers on Monday.Also been an exam week all kids are expected to be in school.,Food was delicious,We had neat queues,"Our failed taps Increased from 13 to 18,,most parents didn't top up on time today.","Our successful taps decreased from 381 to 340,,kids turn out was low today as most opted not to turn up for the meal despite having tags.",@Faith Mueni (SC) Ting'ang'a model.
