Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,St. Joseph Riabai Secondary,Kiambu Regions,January,Secondary,White,2026-01-21,Rice and Greengrams,125,117,117,0.0,0,3,11,3,0,0.0,0.0,0.0,130,0.0,3.0,30,2026-01-21 12:30:32,2026-01-21 13:00:40,We expect more students,The food was delicious,The line was well managed,Failed taps increased from 7 to 11 this is because some students had not topped up their accounts,Successful taps was still the same 117,@Kwamboka (T) St.​joseph riabai secondary
Kiambu kitchen,Hgm Ting'Ang'A Secondary,Kiambu Regions,January,Secondary,White,2026-01-21,Rice and Greengrams,90,88,85,3.0,0,2,5,1,1,0.0,0.0,0.0,90,0.0,2.0,10,2026-01-21 12:55:20,2026-01-21 13:05:28,Projection was not met,Food was delicious,Excellent queue management,Failed taps decreased from 6 to 5,Actual meals served increased from 86 to 88 due to a higher turnout,@Tapper-Hgm Ting'ang'a Sec Sch
Kiambu kitchen,Ngemwa Secondary,Githunguri 2,January,Secondary,White,2026-01-21,Rice and Greengrams,195,206,204,2.0,0,3,6,1,7,0.0,0.0,0.0,200,0.0,3.0,40,2026-01-21 12:40:01,2026-01-21 13:20:07,Students with insufficient balances will top up their accounts on time.,Food was hot and delicious,Teacher on duty helped with line management,"Number of actual meals increased from 186 to 206, students with insufficient balance topped up their accounts on time","number of failed taps increased from 4 to 6, students with insufficient balances reminded to top up their accounts",@Nicholas Tapper PCEA Ngemwa Secondary
Kiambu kitchen,Gatatha Primary,Kiambu Regions,January,Primary,White,2026-01-21,Rice and Greengrams,150,151,128,23.0,0,2,2,0,2,0.0,0.0,0.0,155,0.0,2.0,29,2026-01-21 12:50:54,2026-01-21 13:20:00,We might have a high turn out and additional payment,Food was hot and delicious,Queue was well managed by the help of the teacher,Failed taps have decreased from 4 to 2 due to early payment,Actual meals served have increased from 141 to 151 due to higher turn out and additional payment,@Mourine mwangi-SC Gatatha primary
Kiambu kitchen,Githunguri Primary,Githunguri 2,January,Primary,White,2026-01-21,Rice and Greengrams,450,456,420,36.0,0,3,18,0,3,0.0,0.0,0.0,450,0.0,3.0,40,2026-01-21 12:40:41,2026-01-21 13:20:48,We expect an increase in tomorrow's turn up as the opener exams are ongoing,Food was good,Line was managed with the help of TOD,"Failed taps were 18 an increase from yesterday's 9,,,some parents didn't manage to top up in time","Actual meals were 456 a slight increase from yesterday's 454,,turn up increased",@SC- Githunguri Comprehensive
Kiambu kitchen,Kiababu Primary,Githunguri 1,January,Primary,White,2026-01-21,Rice and Greengrams,260,263,237,25.0,0,2,9,0,2,0.0,0.0,0.0,270,0.0,2.0,50,2026-01-21 12:40:09,2026-01-21 13:30:15,Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps increased from 8 to 9 as some parents did not manage to pay on Time,Successful taps increased from 254 to 263 as more students reported today,@kiaibabu primary school
Kiambu kitchen,St. Joseph Gathanga Secondary,Kiambu Regions,January,Secondary,,2026-01-21,,60,44,44,,0,3,0,2,0,0.0,0.0,,55,0.0,3.0,40,2026-01-21 12:40:16,2026-01-21 13:20:28,We expect a high turnout tomorrow,Food was hot and delicious,The Queue was well managed by the TOD,No failed taps today.,The number remained the same 44 because of the same turnout,@Oness Tapper St. Joseph high-school Gathanga
Kiambu kitchen,Kiairia Secondary,Githunguri 2,January,Secondary,White,2026-01-21,Rice and Greengrams,56,56,56,0.0,0,2,1,0,4,0.0,0.0,0.0,60,0.0,2.0,17,2026-01-21 13:13:11,2026-01-21 13:30:28,I expect a higher turn up tomorrow,The food was good,Queue management was smooth,Failed taps decreased from 2 to 1,Successful taps increased from 51 to 56 parents topped their accounts on time,@Janet tapper kiairia secondary
Kiambu kitchen,Lioki Primary,Githunguri 2,January,Primary,White,2026-01-21,Rice and Greengrams,150,158,139,19.0,0,2,1,0,0,0.0,0.0,0.0,160,0.0,2.0,30,2026-01-21 13:00:21,2026-01-21 13:30:29,we expect a better turn out tomorrow,food was delicious the turn out was great,Queue was well organized with the help of the teacher on duty,Failed taps remained 1 as compared to yesterday the parent failed to top up the account due to vulnerability,successful taps increased from 130 to 139 as 9 more accounts were topped up,@SC Phoebe - Lioki Primary school
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,January,Primary,White,2026-01-21,Rice and Greengrams,260,223,209,14.0,0,3,29,3,3,0.0,0.0,0.0,240,0.0,3.0,50,2026-01-21 12:45:36,2026-01-21 13:35:43,Expecting alower turnout since kids will be sent home for school fees,Food was hot and delicious,Queue was well managed by help of the teacher on duty and the deputy,Failed taps increased from 18 to 29 due to delay in payments,Successful taps decreased from 239 to 223 due to delay In payments,@Tabitha wairimu
