Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Mukuyu Secondary,Githunguri 1,February,Secondary,White,2026-02-19,Rice and Beans,320,345,345,0.0,0,3,8,0,1,0.0,0.0,,350,0,3.0,55,2026-02-19 12:45:38,2026-02-19 13:40:48,,Food was hot and delicious,Queue was well managed,Failed taps decreases from 12 to 8 most parents topped up on time,Successful taps taps increases from 279 to 345 most students reported back to school because of their are doing their mid-term exam,@Mukuyu Secondary School
Githunguri kitchen,William Ng'Iru Secondary,Githunguri 2,February,Secondary,White,2026-02-19,Rice and Beans,560,553,553,0.0,0,4,13,0,6,0.0,0.0,,565,0,4.0,30,2026-02-19 12:40:02,2026-02-19 13:10:13,,Food was hot and delicious,Queue was smooth and orderly,"Failed taps decreased by 2 from 15 that is 13, students with failed taps claim  parents forgot to top up",Successful taps decreased with a difference of 14 compared to yesterday's  because some students don't like beans,@Tapper Dennis -william Ng'iru Secondary
Githunguri kitchen,Ihiga Primary,Githunguri 1,February,Primary,White,2026-02-19,Rice and Beans,170,165,152,13.0,0,2,2,0,2,3.0,5.0,,165,0,2.0,34,2026-02-19 12:40:55,2026-02-19 13:15:02,,Food was Enough,Queues were manageable with assistance from teacher on duty.,Today's failed taps was 2 an increase from yesterday's which was 1.Parents  didn't top up.,Successful taps was 165 a decrease from yesterday's 170.Turn up was lower than yesterday's.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Thuita Secondary,Ruiru-Githunguri,February,Secondary,White,2026-02-19,Rice and Beans,45,44,44,0.0,0,2,3,0,0,0.0,0.0,,50,0,,10,2026-02-19 13:10:35,2026-02-19 13:20:44,,Food was delicious,Queue management was smooth,Yesterday there were 2 failed tap while today there was an increase in number of failed taps there were 3,Yesterday there were 42 successful taps while today there were 44 taps there was an increase in number,@Thuita Secondary tapper
Githunguri kitchen,Gatitu Primary,Githunguri 1,February,Primary,White,2026-02-19,Rice and Beans,380,392,354,38.0,0,3,9,0,0,0.0,0.0,,385,0,3.0,75,2026-02-19 12:10:42,2026-02-19 13:25:53,,Food was well cooked and enough for all learners who availed.,"Under ToD's cordinance, students were organized and moved swiftly with ease.",Failed taps have increased today from 7 to 9 due to parents that are always unreachable upon placing calls.,Successful taps increased from 375 to 392 since learners were present due to ongoing exams...,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Mitahato Secondary,Githunguri 2,February,Secondary,White,2026-02-19,Rice and Beans,45,42,42,0.0,0,2,3,0,0,19.0,22.0,,45,0,,9,2026-02-19 12:50:59,2026-02-19 13:00:12,,Food met the required dietary standards,Students showed good discipline by forming a well-organized queue,There were 3 failed taps today compared to yesterday because parents forgot to top up on time,There was a decrease of 4 compared to yesterday's because some students don't like beans,"@minne,Tapper Mitahato Secondary"
Githunguri kitchen,Kambui Primary,Githunguri 2,February,Primary,White,2026-02-19,Rice and Beans,275,272,216,56.0,0,2,8,0,1,0.0,0.0,,270,0,2.0,45,2026-02-19 12:50:00,2026-02-19 13:35:02,,The food was delicious,The line was well managed,We had 8 failed taps. Some parents did not top up their accounts,We had 272 successful taps a lower number compared to yesterday's that were 278. Most kids had insufficient balances.,@Kambui Primary and Junior School
Githunguri kitchen,Miguta Secondary,Githunguri 1,February,Secondary,White,2026-02-19,Rice and Beans,40,37,37,0.0,0,2,3,0,0,2.0,1.0,,40,0,2.0,29,2026-02-19 13:10:58,2026-02-19 13:40:10,,The food was delicious,The  queue well managed,There were 3 failed taps...the 1 tag had insufficient balance while the other 2 accounts failed yet they had enough balance to tap.,"There were 37 successful taps, increased with 2.. parents topped up their accounts on time and students came for lunch","@Alex,Tapper Miguta Secondary"
Githunguri kitchen,Kibichoi Primary,Ruiru-Githunguri,February,Primary,White,2026-02-19,Rice and Beans,215,234,211,23.0,4,2,5,0,0,0.0,0.0,,235,5,2.0,50,2026-02-19 13:00:03,2026-02-19 13:50:10,,The food was delicious,I managed the queue well,The number of failed taps decreased from 7 to 5 as some parents didn't top up their accounts on time out,The number of successful taps increased from 210 to 211 as most parents topped up their accounts on time,@sc kibichoi primary school
Githunguri kitchen,Miiri Secondary,Githunguri 1,February,Secondary,White,2026-02-19,Rice and Beans,40,30,30,0.0,2,2,6,0,0,2.0,2.0,,40,2,2.0,20,2026-02-19 13:10:05,2026-02-19 13:30:10,,The food was hot and yummy,Queue management was neat and orderly with assistance of TOD,Failed taps increased from 4 to 6 as parents didn't top up,"Successful taps decreased from 31 to 30, less parents had topped up","@Esther,Tapper; Miiri Secondary School"
