Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri,Gatitu Primary,Primary,2026-01-28,Rice and Beans,Tumeric,380,370,331,39,1,3,9,0,5,1.0,2.0,,380,1,,2026-01-28 12:15:41,2026-01-28 13:50:49,95,,Food was well cooked and enough for all learners.,Learners were organized and manageable.,Failed taps increased from 13 to 17..some registered numbers are always unreachable thus adding up to failed taps.,A decrease of 1 from 371 to 370... absenteeism being the case and accounts not being funded timely.,@Wambui ikonya -sc- Gatitu comprehensive
Githunguri,Kiawaiguru Primary,Primary,2026-01-28,Rice and Beans,Tumeric,230,230,210,20,2,2,0,0,1,0.0,0.0,,230,2,,2026-01-28 12:30:00,2026-01-28 13:20:00,50,,Lunch was delicious.,Queue transtioned from class to class in an orderly way.,Failed taps decreased from yesterdayâ€™s 3 to today 0.I reminded parents to to up on time.,Actual meals increased from yesterdayâ€™s 227 to today 230.Pupils reported to school and parents topped up on time.,@KIAWAIGURU PRIMARY SCHOOL
Githunguri,Kanyore Primary,Primary,2026-01-28,Rice and Beans,Tumeric,530,581,548,33,0,3,20,1,2,0.0,0.0,,600,3,,2026-01-28 12:30:58,2026-01-28 13:30:02,59,,Food was hot and delicious,Queuing was organized,Number of failed taps increased from 12 to 20. More students had insufficient balances.Reminded the kids to remind their parents to top up.,Number of successful taps increased from 465 to 581 as more students who were sent home for fees yesterday reported back.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri,Gataka Primary,Primary,2026-01-28,Rice and Beans,Tumeric,265,292,268,24,0,2,5,0,0,0.0,0.0,,300,0,,2026-01-28 12:39:54,2026-01-28 13:40:06,60,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps dropped from 8 to 5, some accounts had insufficient balances.","The number of actual meals rose from 257 to 292, kids who were sent home for school fees yesterday returned today.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri,Kindiga Primary,Primary,2026-01-28,Rice and Beans,Tumeric,195,184,166,18,0,2,10,0,0,3.0,2.5,,190,0,,2026-01-28 12:40:26,2026-01-28 13:30:36,50,,The food was delicious.,Queues were well managed with the help of TOD.,"Failed taps increased to 10 from 5,parents did not top up accounts","Successful taps decreased to 184 from yesterday's 194,failed taps affected this since parents did not top up accounts on time.",@James Mbugua SC Kindiga Primary
Githunguri,Gathiruini Primary,Primary,2026-01-28,Rice and Beans,White,245,253,229,24,0,0,0,0,3,0.0,0.0,,250,0,,2026-01-28 12:30:07,2026-01-28 13:30:12,60,,Lunch was delicious,Line management was good with help of teacher on duty,Failed tap was 0  a decrease from 5 this is because parents topped up their accounts on time,Actual meal served today were 253 an increase from 246 this is because parents topped up their accounts on time,@Catherine Wanjiru
Githunguri,Gathaithi Primary,Primary,2026-01-28,Rice and Beans,Tumeric,465,460,412,49,2,3,17,0,0,0.0,0.0,,460,2,,2026-01-28 12:40:41,2026-01-28 13:40:49,60,,Food was delicious,One teacher assisted with queue management,Failed taps increased from 13 to 17. A number of parents failed to top up accounts on time,Actual meals served dropped from 469 to 460.,@P.C.E.A Gathaithi primary and Junior secondary school
Githunguri,Mukuyu Secondary,Secondary,2026-01-28,Rice and Beans,Tumeric,330,328,328,0,0,3,9,0,3,0.0,0.0,,340,0,,2026-01-28 12:40:05,2026-01-28 13:10:53,31,,Food was hot and delicious,Queue was well managed,Failed taps decreases from 18 to 9 some parents paid on time,Successful taps increases from 319 to 328 parents paid on time,@Mukuyu Secondary School
Githunguri,Matuguta Primary,Primary,2026-01-28,Rice and Beans,Tumeric,470,478,434,44,3,3,12,0,2,0.0,0.0,,480,3,,2026-01-28 12:30:09,2026-01-28 13:30:12,60,,Food was delicious,Queue was well managed,Failed taps were 12 a decrease of 10 taps from yesterday's 22 failed taps. Respective students had not topped up.,Actual meals were 478 an increase of 10 taps from yesterday's 468 actual meals. More parents topped up.,@Matuguta primary
Githunguri,Gikang'A Kageche Secondary,Secondary,2026-01-28,Rice and Beans,Tumeric,320,327,327,0,0,3,11,0,0,0.0,0.0,,330,0,,2026-01-28 13:10:48,2026-01-28 13:50:54,40,,Food was delicious,Queue was well managed,Today's failed taps decreased from 13 to 11.some parents topped on time,Today's successful taps increased by 10 from 317 to 327,@Pauline Gatimu
Githunguri,Gitiha Secondary,Secondary,2026-01-28,Rice and Beans,White,150,148,148,0,0,2,6,0,1,0.0,0.0,,145,0,,2026-01-28 12:40:14,2026-01-28 13:18:21,38,,Food was delicious,Queue was smooth,Constant number of failed taps,Successful taps were constant,@Jecinta muthoni Gitonga
Githunguri,Githiga Primary,Primary,2026-01-28,Rice and Beans,White,410,418,381,37,0,3,19,0,0,0.0,0.0,,425,0,,2026-01-28 12:33:42,2026-01-28 13:20:49,47,,Food was sweet and delicious,Line Management was smooth,Failed taps decreased from 25 to 19 .. parents topped up their accounts.,Actual meals increased from 407 to 418..turn out increased.,@Nicholas-SC - Githiga Comprehensive
Githunguri,Ihiga Primary,Primary,2026-01-28,Rice and Beans,White,160,165,153,12,0,2,0,1,2,0.0,0.0,,160,0,,2026-01-28 12:40:44,2026-01-28 13:15:55,35,,Food was Enough,Queues were manageable.,Failed taps was 0 the same as yesterday's which was 0.Parents are topping up their accounts on time.,Successful taps were 165 a decrease from yesterday's 172.Turn up was lower than yesterday.,@Naomi SC-Ihiga Comprehensive
Githunguri,Githioro Primary,Primary,2026-01-28,Rice and Beans,White,340,346,319,27,0,2,5,0,0,0.0,0.0,,350,0,,2026-01-28 12:30:13,2026-01-28 13:30:17,60,,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from 13 to 5 today, some parents forgot to top up their accounts on time.","Successful taps increased from 332 to 346 today, kids turned up well today for their meals",@GITHIORO COMPREHENSIVE
Githunguri,Mathanja Priamry,Primary,2026-01-28,Rice and Beans,White,205,201,178,23,0,2,6,0,0,1.0,1.0,,205,0,,2026-01-28 12:20:41,2026-01-28 13:30:47,70,,food was delicious,I managed the queue without any assistance,today we had 6 failed taps an increase compared to yesterday 2. parents didn't top-up their accounts on time.,today we had 201 actual meals served a decrease compared to yesterday 206. some parents didn't top-up their accounts on time.,@mathanja primary school
