Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kagema Primary School,2026-02-20,Rice and Green Grams,730,725,725,0,0,3,18,1,2,11,2,,725,0,3,"20 Feb 2026, 12:50:31","20 Feb 2026, 13:35:41",,Lunch was good and delicious,Queue management was smooth transitioning well from class to class,Failed taps increased from 9 to 18 as more kids had insufficient accounts,Successful taps increased from 719 to 725 successful taps as more kids showed up for lunch,@SL PCEA Kagema Comprehensive school
,Mitahato Primary School,2026-02-20,White rice and green grams,250,243,215,20,0,2,6,0,0,2,2,,245,0,2,"20 Feb 2026, 12:25:53","20 Feb 2026, 13:25:57",,Food was delicious,Queue was transitioning from class to class,Today's failed taps were 6 because parents forgot to top up on time,Successful taps decreased from 251 to 243 this being affected by kids expecting Mangoes yesterday,@SC George-Mitahato Comprehensive
,Giathieko Primary School,2026-02-20,White rice and green grams.,200,192,175,17,0,2,10,0,1,3,6,,200,0,2,"20 Feb 2026, 13:00:51","20 Feb 2026, 13:20:58",,Food was delicious,Line was smooth .,"From 3 failed taps 10today , an increase noted from parents not topping up students accounts on time.","From 199 to 192 today , a decrease recorded as a result of increased failed taps","@SC, Giathieko Comprehensive -Rose"
,Nyaga Primary School,2026-02-20,Rice and Greengrams,520,521,457,64,0,3,19,0,0,0,0,,510,0,3,"20 Feb 2026, 12:40:53","20 Feb 2026, 13:30:58",,The food was delicious,The line was well managed by the school lead,The number of failed taps reduced from 29 to 19.Some accounts had not been topped up,The number of actual meals served increased from 503 to 521 .Most accounts were topped up,@SL Nyaga Primary and Junior School-Gladys
,Githioro Primary School,2026-02-20,Rice and GREENGRAMS,345,338,312,26,0,2,8,0,0,2,3,,345,0,2,"20 Feb 2026, 12:33:53","20 Feb 2026, 13:35:00",,The food was appetising,Line management was organised assisted by tod,"Failed taps increased from yesterday 5 to 8 today, parent's forgot to top up their accounts on time","Successful taps decreased from yesterday’s 342 to 338 today, some kids were absent today",@GITHIORO COMPREHENSIVE
,Kindiga Primary & Junior Secondary School,2026-02-20,White Rice and GG,190,189,171,18,0,2,6,0,1,00,0,,190,00,2,"20 Feb 2026, 12:40:02","20 Feb 2026, 13:30:11",,The food was delicious,Queues were well managed with the help of TOD,"Failed taps increased to 6 from yesterday's 4,parents did not top up accounts on time","Successful taps decreased 189 from yesterday's 193,Some students were absent.",@James Mbugua SC Kindiga Primary
,Ndireti Secondary School,2026-02-20,Rice and GG,40,44,44,0,0,2,0,2,0,0,0,,45,0,2,"20 Feb 2026, 13:30:55","20 Feb 2026, 13:50:01",,The food was delicious,The line was manageable,The number of failed taps decreased from 3 to 0,The number of successful taps increased with a difference of 3 this is because the previous failed taps were topped up,@Tracy Tapper Ndireti secondary school
,Kihuririo Primary School,2026-02-20,Rice and GG,500,481,421,60,0,3,4,0,1,6,9,,480,0,3,"20 Feb 2026, 12:50:30","20 Feb 2026, 13:25:38",,The food was sweet,Queuing was smooth,"Failed taps increased from 3 to 4, parents didn't pay on time","Successful taps decreased from 502 to 481,some lower classes kids were absent",@kihuririo primary
,Miguta Primary School,2026-02-20,Rice and Green Grams,250,251,230,21,0,2,7,0,0,0,0,,250,0,2,"20 Feb 2026, 12:50:56","20 Feb 2026, 13:30:04",,The food was delicious,The queue was manageable,"There were 7 failed taps, a decrease of 1 from the previous tapping. Parents did not top up on time","There were 230 successful taps, a decrease of 16 from the previous tapping. The numbers reduced because there were no fruits.",@SC Pauline - Miguta Primary School
,Gathugu Secondary School,2026-02-20,Rice and GG,280,281,281,0,0,3,8,0,0,3,0,,290,00,2,"20 Feb 2026, 12:40:15","20 Feb 2026, 13:10:19",,Food was delicious,Queue management was good,Failed taps were 8,Number of successful taps increased from274 to 281,@Tapper Gathugu secondary school
