Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,PCEA Matuguta Secondary School,2026-01-13,White Rice and Green grams,115,100,100,0,0,2,1,3,7,4.5,5.2,,110,00,,"13 Jan 2026, 13:50:27","13 Jan 2026, 13:48:37",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Failed taps today were 01 lower compared to yesterday's 06,Successful taps today were 100 lower than the projected meals that were 115 but higher than yesterday's 95,@Njeri -Matuguta secondary school
,Kanyore Primary School,2026-01-13,Rice and green grams,620,619,576,43,0,0,10,5,3,10,0,,630,5,,"13 Jan 2026, 12:40:00","13 Jan 2026, 13:25:00",,Food was delicious,Queue was well managed,The number of failed taps reduced from yesterday’s 15 to today’s 10 because more accounts were topped up.,The number of actual taps increased from yesterday’s 609 to today’s 619 because more kids were present,@Kanyore Comprehensive School
,Gitombo Primary School,2026-01-13,White rice and Green grams,170,174,161,13,0,2,0,0,3,0,0,,175,0,,"13 Jan 2026, 12:40:52","13 Jan 2026, 13:14:59",,Food was delicious learners enjoyed.,Queue was well manageable.,Today failed tap was 0 a decrease of 2 from 2 yesterday  parents did the top up on time.,Actual meals served today was 174 an increase of 5 from 169 yesterday   more students reported well today.,@Veronica Mwaura -S/C- Gitombo primary
,Kiambururu Secondary School,2026-01-13,Rice with GG,180,178,178,0,0,3,3,11,10,1,2,,190,0,,"13 Jan 2026, 13:25:30","13 Jan 2026, 13:55:49",,The food was delicious students enjoyed the meal,line was smooth,"Failed taps today was 3 compared to previous which was 1, some parents forgot to top up.","Successful taps was 178 compared to previous which was 161, grade 10 reported today",@Salome-kiambururu secondary school
,Gatitu Primary,2026-01-13,RICE AND GREEN GRAMS.,375,379,347,32,1,3,8,2,6,00,0,,380,1,,"13 Jan 2026, 12:15:34","13 Jan 2026, 13:35:46",,Food was delicious .,Teacher on duty helped with line management... students moved orderly.,"Failed taps have decreased from 10 to 8 taps today,, parents that I called for top up adhered.",An increase in successful taps from 338 to 347.. Accounts had funds and students present.,@Wambui ikonya -sc- Gatitu comprehensive
,Gikang'a Kageche Secondary School,2026-01-13,Rice and Green Grams,230,231,231,0,0,3,4,4,9,0,0,,250,0,,"13 Jan 2026, 13:15:40","13 Jan 2026, 14:00:49",,Food was yummy,Queue was well managed,"Today's failed taps decreased from 9 to 4,parent topped up on time","Today's successful taps increased from 196 to 231,today's turn was high",@Pauline Gatimu
,Githima Primary,2026-01-13,White rice and greengrams,260,260,235,25,2,2,3,2,0,0,0,,260,4,,"13 Jan 2026, 12:30:42","13 Jan 2026, 13:30:48",,The food was delicious,I managed the queue and kids were disciplined today.,We had 3 failed taps which is a decrease from yesterday's 4 failed taps.Most accounts were topped up today.,We had 260 actual meals served which is an increase from yesterday's 256 actual meals served.The turn out was high and accounts were topped up on time.,@Brenda kamawe Githima primary and junior secondary school
,Gatina Primary School,2026-01-13,White rice and greengrams,450,442,384,58,0,3,7,2,1,0,0,,450,0,,"13 Jan 2026, 12:36:18","13 Jan 2026, 13:30:23",,food was hot and yummy,line was smooth and orderly,"failed taps were 7 similar with yesterday's number,more accounts maintained sufficient funds.","Actual meals served were 442 an increase compared to yesterday's number of 440, parents managed to credit accounts on time thus my actual meals number raises.",@Kang'ethe Dennis
,Gathangari Primary School,2026-01-13,White Rice and Green Grams,400,408,382,26,0,3,10,1,1,8,0,,410,0,,"13 Jan 2026, 12:20:40","13 Jan 2026, 13:38:51",,The food was delicious,The queue was well managed by the teacher,There was a decrease in number because most parents remembered to top up their accounts.,There was an increase in number because most accounts were topped up on time.,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Mathanja Priamry School,2026-01-13,rice and green grams,195,194,174,20,0,2,1,6,2,0,0,,200,0,,"13 Jan 2026, 12:25:28","13 Jan 2026, 13:20:34",,food was delicious,I managed the queue without any assistance since kids were orderly.,today we had 1 failed tap same as yesterday. only one parent didn't top-up their account.,today we had 194 actual meals served an increase compared to yesterday 187. this is because we had new comers who reported today.,@mathanja primary school
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-13,Rice and Greengrams,280,283,266,17,0,2,5,2,1,0,0,,285,0,,"13 Jan 2026, 12:45:23","13 Jan 2026, 13:34:30",,The food was delicious,The queue was well managed by the school coordinator.,"The number of failed taps dropped from 10 to 5, we reminded kids to request their parents to top up.","The number of actual meals rose from 272 to 283, parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Gathaithi Secondary School,2026-01-13,Rice and green grams,100,94,94,0,0,2,4,0,5,1.8,2.1,,100,0,,"13 Jan 2026, 13:21:53","13 Jan 2026, 13:50:37",,Food was delicious,Queuing was good,We had 4 failed taps a rise from 2 due to failure of topping up,We had 94 successful taps a rise from yesterday's 74 due to more students attendance,@Joseph mburu nga'ang'a
,Kindiga Primary & Junior Secondary School,2026-01-13,Rice and GG,185,188,169,19,0,2,2,4,1,00,0,,190,00,,"13 Jan 2026, 12:40:06","13 Jan 2026, 13:30:14",,The food was delicious.,Queues were orderly.,"Failed taps decreased to 2 from yesterday's 4,some parents still did not top up accounts.","Successful taps increased to 188 from 179,Turn out was high and we also registered new students.",@James Mbugua SC Kindiga Primary
,GATHAITHI PRIMARY,2026-01-13,"RICE, GREENGRAMS AND BANANAS",460,457,411,46,0,3,13,2,1,00,0,,460,00,,"13 Jan 2026, 12:45:39","13 Jan 2026, 13:30:44",,Food was delicious,Teachers on duty assisted with queue management,We had 13 failed taps a drop from 16,Actual meals served increased from 447 to 457,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,PCEA Matuguta Primary & Junior Secondary School,2026-01-13,Rice and greengrams,460,445,416,29,3,3,9,1,5,4,5,,450,3,,"13 Jan 2026, 12:40:51","13 Jan 2026, 13:30:58",,Food was delicious,Queue was well managed,failed taps were 9 a decrease of 7 taps from yesterday's 16 failed taps. Respective parents had not topped up,Actual meals were 445 a decrease of 8 taps from yesterday's 453 actual meals. Some parents had not topped up their  kid's accounts.,@Matuguta primary
,Kiawaiguru Primary School,2026-01-13,Rice and Green Grams,200,217,197,20,2,2,0,1,6,0,0,,220,2,,"13 Jan 2026, 12:30:00","13 Jan 2026, 13:25:00",,Lunch was delicious,Lunch was delicious,Failed taps decreased from yesterday’s 4 to today0.I called and reminded parents to top up before lunch time.,Actual meals served increased from yesterday’s 202 to today 217.Most pupils reported to school.,@KIAWAIGURU PRIMARY SCHOOL
,Ihiga Primary,2026-01-13,White Rice and Green Grams,165,165,154,11,0,2,0,1,0,0,0,,165,0,,"13 Jan 2026, 12:40:25","13 Jan 2026, 13:15:33",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Failed taps were 0 the same as yesterday.parents are topping up their accounts on time.,Successful taps were 165 a decrease from yesterday's taps which was 167.Turn up was a bit lower than yesterday.,@Naomi SC-Ihiga Comprehensive
,Githioro Primary School,2026-01-13,White Rice  and Greengrams,313,322,297,25,0,2,7,1,0,2,0,,325,0,,"13 Jan 2026, 12:37:48","13 Jan 2026, 13:34:05",,Food was hot and appetising,Line management was organised assisted by tod.,"Failed taps reduced from 9 to 7, some parents  forgot to top up their accounts on time","Successful taps increased from 313 to 322,  most kids are back to school.",@GITHIORO COMPREHENSIVE
,Kiawairia Primary,2026-01-13,Rice and Greengrams,135,134,118,16,2,2,2,1,0,0,0,,135,2,,"13 Jan 2026, 12:00:19","13 Jan 2026, 13:30:25",,Food was hot and delicious,Lines were neat and ordely,We had 2 failed taps same as yesterday some parents didn't top up on time,We had 118 successful taps same as yesterday turn up was okay,@Mary kimani SC kiawairia comprehensive school
,Kiawairia Secondary School,2026-01-13,White rice and green grams,45,35,35,0,0,2,0,0,0,3,4,,50,0,,"13 Jan 2026, 13:20:16","13 Jan 2026, 13:30:29",,Food was delicious and appetizing,Line management was transitioning good,Number of failed taps remained 0 as of yesterday,Actual meals remained the same as of yesterday students haven't reported fully,@Patrick Kariuki Kiawaria secondary school Tapper
